figure	panel	title	module	analysis_script	plot_script	source_workflow	panel_type	status
SuppFig10	A	Mesenchymal markers and GO terms	supplementary/SuppFig10	supplementary/SuppFig10/01_analysis.R	supplementary/SuppFig10/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig10	B	Spatial myogenesis score	supplementary/SuppFig10	supplementary/SuppFig10/01_analysis.R	supplementary/SuppFig10/02_plot.R	workflows/spatial/09_spacet_gene_set_scores.R	standard_vector	implemented_v0.4
SuppFig10	C	CAF_c3_FAP Hallmark enrichment	supplementary/SuppFig10	supplementary/SuppFig10/01_analysis.R	supplementary/SuppFig10/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig10	D	Endothelial UMAP	supplementary/SuppFig10	supplementary/SuppFig10/01_analysis.R	supplementary/SuppFig10/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R	standard_vector	implemented_v0.4
SuppFig10	E	Endothelial marker dot plot	supplementary/SuppFig10	supplementary/SuppFig10/01_analysis.R	supplementary/SuppFig10/02_plot.R	workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	package_native	implemented_v0.4
SuppFig10	F	Endo_c1_CXCR4 enrichment	supplementary/SuppFig10	supplementary/SuppFig10/01_analysis.R	supplementary/SuppFig10/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig10	G	Stromal and endothelial DSS	supplementary/SuppFig10	supplementary/SuppFig10/01_analysis.R	supplementary/SuppFig10/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig11	A	Immune and stromal scores	supplementary/SuppFig11	supplementary/SuppFig11/01_analysis.R	supplementary/SuppFig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/03_external_blca_validation.R	standard_vector	implemented_v0.4
SuppFig11	B	FAP and SPP1 expression	supplementary/SuppFig11	supplementary/SuppFig11/01_analysis.R	supplementary/SuppFig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/03_external_blca_validation.R	standard_vector	implemented_v0.4
SuppFig11	C	SPP1 correlations	supplementary/SuppFig11	supplementary/SuppFig11/01_analysis.R	supplementary/SuppFig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/03_external_blca_validation.R	standard_vector	implemented_v0.4
SuppFig11	D	Subtype-classification ROC	supplementary/SuppFig11	supplementary/SuppFig11/01_analysis.R	supplementary/SuppFig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/03_external_blca_validation.R	standard_vector	implemented_v0.4
SuppFig11	E	External survival validation	supplementary/SuppFig11	supplementary/SuppFig11/01_analysis.R	supplementary/SuppFig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/03_external_blca_validation.R	standard_vector	implemented_v0.4
SuppFig12	A	Major-lineage UMAP	supplementary/SuppFig12	supplementary/SuppFig12/01_analysis.R	supplementary/SuppFig12/02_plot.R	workflows/single_cell/01_process_scrna.R	standard_vector	implemented_v0.4
SuppFig12	B	Canonical lineage-marker dot plot	supplementary/SuppFig12	supplementary/SuppFig12/01_analysis.R	supplementary/SuppFig12/02_plot.R	workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	package_native	implemented_v0.4
SuppFig12	C	Neutrophil-marker audit	supplementary/SuppFig12	supplementary/SuppFig12/01_analysis.R	supplementary/SuppFig12/02_plot.R	workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	package_native	implemented_v0.4
SuppFig12	D	Myeloid reclustering and SPP1 density	supplementary/SuppFig12	supplementary/SuppFig12/01_analysis.R	supplementary/SuppFig12/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R -> workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	standard_vector	implemented_v0.4
SuppFig12	E	Fibroblast reclustering and FAP density	supplementary/SuppFig12	supplementary/SuppFig12/01_analysis.R	supplementary/SuppFig12/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R -> workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	standard_vector	implemented_v0.4
SuppFig12	F	Endothelial reclustering and CXCR4 density	supplementary/SuppFig12	supplementary/SuppFig12/01_analysis.R	supplementary/SuppFig12/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R -> workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	standard_vector	implemented_v0.4
SuppFig13	A	Original adjacent-epithelial-reference inferCNV heatmap	supplementary/SuppFig13	supplementary/SuppFig13/01_analysis.R	supplementary/SuppFig13/02_plot.R	workflows/single_cell/02a_infercnv_adjacent_epithelial_reference.R	package_native	implemented_v0.4
SuppFig13	B	Within-sample non-epithelial-reference inferCNV heatmap	supplementary/SuppFig13	supplementary/SuppFig13/01_analysis.R	supplementary/SuppFig13/02_plot.R	workflows/single_cell/02_infercnv_non_epi_reference.R	package_native	implemented_v0.4
SuppFig13	C	Cell-level CNV burden percentile concordance	supplementary/SuppFig13	supplementary/SuppFig13/01_analysis.R	supplementary/SuppFig13/02_plot.R	workflows/single_cell/02b_infercnv_reference_robustness.R	standard_vector	implemented_v0.4
SuppFig13	D	Patient-specific CNV burden rank correlations	supplementary/SuppFig13	supplementary/SuppFig13/01_analysis.R	supplementary/SuppFig13/02_plot.R	workflows/single_cell/02b_infercnv_reference_robustness.R	standard_vector	implemented_v0.4
SuppFig13	E	Original and revised malignant-subcluster UMAPs	supplementary/SuppFig13	supplementary/SuppFig13/01_analysis.R	supplementary/SuppFig13/02_plot.R	workflows/single_cell/02b_infercnv_reference_robustness.R	standard_vector	implemented_v0.4
SuppFig13	F	Overlap of malignant cells under both references	supplementary/SuppFig13	supplementary/SuppFig13/01_analysis.R	supplementary/SuppFig13/02_plot.R	workflows/single_cell/02b_infercnv_reference_robustness.R	package_native	implemented_v0.4
SuppFig13	G	Malignant-subcluster marker-profile concordance	supplementary/SuppFig13	supplementary/SuppFig13/01_analysis.R	supplementary/SuppFig13/02_plot.R	workflows/single_cell/02b_infercnv_reference_robustness.R	standard_vector	implemented_v0.4
SuppFig13	H	Cancer_c0 and Cancer_c3 Hallmark NES concordance	supplementary/SuppFig13	supplementary/SuppFig13/01_analysis.R	supplementary/SuppFig13/02_plot.R	workflows/single_cell/02b_infercnv_reference_robustness.R	standard_vector	implemented_v0.4
SuppFig14	A	Signed distance from the inferred tumor boundary	supplementary/SuppFig14	supplementary/SuppFig14/01_analysis.R	supplementary/SuppFig14/02_plot.R	workflows/spatial/03_prepare_boundary_input.py -> workflows/spatial/04_infer_boundary_stgrads.R -> workflows/spatial/05_boundary_profiles.R	standard_vector	implemented_v0.4
SuppFig14	B	Integrated Hallmark GSEA for each spatial niche	supplementary/SuppFig14	supplementary/SuppFig14/01_analysis.R	supplementary/SuppFig14/02_plot.R	workflows/spatial/14_niche_functional_analysis.R	package_native	implemented_v0.4
SuppFig14	C	Adjusted spatial niche-pathway associations in MI sections	supplementary/SuppFig14	supplementary/SuppFig14/01_analysis.R	supplementary/SuppFig14/02_plot.R	workflows/spatial/14_niche_functional_analysis.R	standard_vector	implemented_v0.4
